"","Company","Location","Industry","Rating","Salaries","Python","R","SAS","SQL","Java","Tableau","Spark","C","Perl","Excel","Hadoop","NoSQL","HBase","State","max","min","mean"
"1"," Novetta","Herndon, VA","Information Technology",3.6,"$109k-$161k(Glassdoor est.)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"VA","161","109",135
"3"," L.A. Care Health Plan","Los Angeles, CA","Health Care",3.3,"$78k-$117k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA","117","78",97.5
"4"," Senior Whole Health","Cambridge, MA","Insurance",3.3,"$96k-$148k(Glassdoor est.)",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"MA","148","96",122
"5"," GCP Applied Technologies","Cambridge, MA","Manufacturing",3.2,"$77k-$116k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"MA","116","77",96.5
"6"," Backcountry","Park City, UT","Retail",3.2,"$67k-$97k(Glassdoor est.)",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"UT","97","67",82
"7"," Sitecore","Sausalito, CA","Information Technology",3.1,"$127k-$176k(Glassdoor est.)",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA","176","127",151.5
"8"," Uncommon","Santa Monica, CA","Information Technology",5,"$80k-$118k(Glassdoor est.)",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"CA","118","80",99
"11"," PwC","Tampa, FL","Accounting ; Legal",3.8,"$83k-$129k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"FL","129","83",106
"12"," Two Sigma","New York, NY","Finance",4.4,"$157k-$229k(Glassdoor est.)",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"NY","229","157",193
"14"," Craftsy","New York, NY","Education",3.8,"$81k-$119k(Glassdoor est.)",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"NY","119","81",100
"15"," LexisNexis Legal & Professional","Raleigh, NC","Business Services",3.3,"$81k-$115k(Glassdoor est.)",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NC","115","81",98
"16"," Wealthfront","Redwood City, CA","Finance",4.6,"$149k-$221k(Glassdoor est.)",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA","221","149",185
"17"," Proofpoint","Sunnyvale, CA","Information Technology",3.3,"$122k-$172k(Glassdoor est.)",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA","172","122",147
"18",NA,"Boston, MA","Information Technology",2.8,"$102k-$150k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"MA","150","102",126
"19"," Dailymotion","New York, NY","Information Technology",3.9,"$105k-$157k(Glassdoor est.)",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"NY","157","105",131
"21"," PROS","Houston, TX","Information Technology",3.8,"$76k-$108k(Glassdoor est.)",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"TX","108","76",92
"22"," Two Sigma","New York, NY","Finance",4.4,"$127k-$196k(Glassdoor est.)",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NY","196","127",161.5
"23"," Hulu","Santa Monica, CA","Media",4.1,"$96k-$140k(Glassdoor est.)",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA","140","96",118
"24"," ApTask","Hoboken, NJ","Business Services",4.4,"$93k-$136k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"NJ","136","93",114.5
"25"," Esri","Redlands, CA","Information Technology",3.7,"$111k-$155k(Glassdoor est.)",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"CA","155","111",133
"26"," Bose","Framingham, MA","Manufacturing",3.6,"$92k-$138k(Glassdoor est.)",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"MA","138","92",115
"27"," Priceline.com","Norwalk, CT","Information Technology",3.2,"$92k-$135k(Glassdoor est.)",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"CT","135","92",113.5
"28"," Morgan Lewis","Philadelphia, PA","Accounting ; Legal",3.4,"$89k-$134k(Glassdoor est.)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"PA","134","89",111.5
"29"," 23andMe, Inc.","Mountain View, CA","Biotech ; Pharmaceuticals",4.7,"$94k-$143k(Glassdoor est.)",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA","143","94",118.5
"32"," Dow Jones","New York, NY","Media",3.1,"$61k-$79k(Glassdoor est.)",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"NY","79","61",70
"33"," WellCare","Tampa, FL","Insurance",3.3,"$81k-$120k(Glassdoor est.)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"FL","120","81",100.5
"34"," Citadel","New York, NY","Finance",3.5,"$117k-$174k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"NY","174","117",145.5
"35"," Uber","San Francisco, CA","Information Technology",4.2,"$100k-$144k(Glassdoor est.)",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA","144","100",122
"36"," Riverside Research Institute","Wright Patterson AFB, OH","Government",4.1,"$62k-$90k(Glassdoor est.)",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"OH","90","62",76
"37"," Two Sigma","New York, NY","Finance",4.4,"$83k-$151k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"NY","151","83",117
"38"," Intermountain Healthcare","Salt Lake City, UT","Health Care",3.8,"$89k-$112k(Glassdoor est.)",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"UT","112","89",100.5
"39"," Lyft","San Francisco, CA","Transportation ; Logistics",3.8,"$129k-$179k(Glassdoor est.)",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA","179","129",154
"40"," Grammarly","San Francisco, CA","Consumer Services",4.3,"$94k-$136k(Glassdoor est.)",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA","136","94",115
"41"," Sony PlayStation","San Mateo, CA","Media",3.4,"$96k-$122k(Glassdoor est.)",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA","122","96",109
"42"," Thumbtack","San Francisco, CA","Information Technology",4.5,"$39k-$64k(Glassdoor est.)",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA","64","39",51.5
"43"," Walmart eCommerce","Sunnyvale, CA","Information Technology",3.2,"$108k-$149k(Glassdoor est.)",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"CA","149","108",128.5
"44"," Aetna","New York, NY","Insurance",3.3,"$123k-$183k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NY","183","123",153
"45"," NSA","Fort Meade, MD","Government",3.6,"$80k-$126k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"MD","126","80",103
"46"," ACI Worldwide","Providence, RI","Information Technology",3.2,"$103k-$143k(Glassdoor est.)",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"RI","143","103",123
"47",NA,"Milwaukee, WI","Information Technology",2.8,"$76k-$96k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WI","96","76",86
"48"," Dell","Round Rock, TX","Information Technology",3.7,"$75k-$108k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"TX","108","75",91.5
"49"," LearnVest","New York, NY","Information Technology",3.4,"$114k-$179k(Glassdoor est.)",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"NY","179","114",146.5
"50"," LogMeIn","Santa Barbara, CA","Information Technology",3.9,"$103k-$144k(Glassdoor est.)",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA","144","103",123.5
"51",NA,"New York, NY","Business Services",4.1,"$41k-$54k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NY","54","41",47.5
"52"," Publishers Clearing House","Jericho, NY","Business Services",3.2,"$96k-$146k(Glassdoor est.)",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"NY","146","96",121
"53"," Quora, Inc.","Mountain View, CA","Information Technology",4.4,"$119k-$175k(Glassdoor est.)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA","175","119",147
"55"," Showtime Networks","New York, NY","Media",3.5,"$96k-$151k(Glassdoor est.)",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"NY","151","96",123.5
"57"," The Washington Post","Washington, DC","Media",4.1,"$94k-$140k(Glassdoor est.)",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,"DC","140","94",117
"58"," University of Washington","Seattle, WA","Education",4.1,"$72k-$109k(Glassdoor est.)",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WA","109","72",90.5
"59",NA,"Austin, TX","Information Technology",4.9,"$80k-$122k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"TX","122","80",101
"60"," Arbor","Baltimore, MD","Information Technology",3.3,"$139k-$193k(Glassdoor est.)",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"MD","193","139",166
"63"," Knowles","Itasca, IL","Manufacturing",2.8,"$111k-$164k(Glassdoor est.)",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"IL","164","111",137.5
"64"," SeatGeek","New York, NY","Information Technology",4.8,"$99k-$150k(Glassdoor est.)",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"NY","150","99",124.5
"65"," Expedia","Bellevue, WA","Information Technology",3.9,"$122k-$171k(Glassdoor est.)",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"WA","171","122",146.5
"66"," Newsela","New York, NY","Information Technology",3.8,"$122k-$184k(Glassdoor est.)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NY","184","122",153
"69"," Spring Venture Group","Kansas City, MO","Insurance",4.4,"$61k-$88k(Glassdoor est.)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"MO","88","61",74.5
"70",NA,"San Francisco, CA","Information Technology",4.6,"$126k-$175k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA","175","126",150.5
"71"," Uber","New York, NY","Information Technology",4.2,"$90k-$135k(Glassdoor est.)",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NY","135","90",112.5
"73"," Remind","San Francisco, CA","Information Technology",4.7,"$100k-$142k(Glassdoor est.)",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA","142","100",121
"74"," Groupon","Chicago, IL","Information Technology",3.1,"$121k-$172k(Glassdoor est.)",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"IL","172","121",146.5
"76"," TextRecruit","San Jose, CA","Information Technology",4.9,"$101k-$154k(Glassdoor est.)",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA","154","101",127.5
"77"," IMVU","Redwood City, CA","Information Technology",2.9,"$128k-$176k(Glassdoor est.)",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"CA","176","128",152
"79"," MultiCare Health System","Mount Vernon, IA","Health Care",3.5,"$64k-$100k(Glassdoor est.)",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"IA","100","64",82
"82"," IntraEdge","Phoenix, AZ","Information Technology",3.9,"$77k-$118k(Glassdoor est.)",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"AZ","118","77",97.5
