"","City","lon","lat"
"1","Herndon, VA",-77.3860976,38.9695545
"2","Los Angeles, CA",-118.2436849,34.0522342
"3","Cambridge, MA",-71.1097335,42.3736158
"4","Cambridge, MA",-71.1097335,42.3736158
"5","Park City, UT",-111.4979729,40.6460622
"6","Sausalito, CA",-122.4852507,37.8590937
"7","Santa Monica, CA",-118.4911912,34.0194543
"8","Tampa, FL",-82.4571776,27.950575
"9","New York, NY",-74.0059728,40.7127753
"10","New York, NY",-74.0059728,40.7127753
"11","Raleigh, NC",-78.6381787,35.7795897
"12","Redwood City, CA",-122.2363548,37.4852152
"13","Sunnyvale, CA",-122.0363496,37.36883
"14","Boston, MA",-71.0588801,42.3600825
"15","New York, NY",-74.0059728,40.7127753
"16","Houston, TX",-95.3698028,29.7604267
"17","New York, NY",-74.0059728,40.7127753
"18","Santa Monica, CA",-118.4911912,34.0194543
"19","Hoboken, NJ",-74.0323626,40.7439905
"20","Redlands, CA",-117.1825381,34.0555693
"21","Framingham, MA",-71.4161565,42.279286
"22","Norwalk, CT",-73.4081575,41.117744
"23","Philadelphia, PA",-75.1652215,39.9525839
"24","Mountain View, CA",-122.0838511,37.3860517
"25","New York, NY",-74.0059728,40.7127753
"26","Tampa, FL",-82.4571776,27.950575
"27","New York, NY",-74.0059728,40.7127753
"28","San Francisco, CA",-122.4194155,37.7749295
"29","Wright Patterson AFB, OH",-84.0537448,39.8137298
"30","New York, NY",-74.0059728,40.7127753
"31","Salt Lake City, UT",-111.8910474,40.7607793
"32","San Francisco, CA",-122.4194155,37.7749295
"33","San Francisco, CA",-122.4194155,37.7749295
"34","San Mateo, CA",-122.3255254,37.5629917
"35","San Francisco, CA",-122.4194155,37.7749295
"36","Sunnyvale, CA",-122.0363496,37.36883
"37","New York, NY",-74.0059728,40.7127753
"38","Fort Meade, MD",-76.7267773,39.1137602
"39","Providence, RI",-71.4128343,41.8239891
"40","Milwaukee, WI",-87.9064736,43.0389025
"41","Round Rock, TX",-97.678896,30.5082551
"42","New York, NY",-74.0059728,40.7127753
"43","Santa Barbara, CA",-119.6981901,34.4208305
"44","New York, NY",-74.0059728,40.7127753
"45","Jericho, NY",-73.5398476,40.7920441
"46","Mountain View, CA",-122.0838511,37.3860517
"47","New York, NY",-74.0059728,40.7127753
"48","Washington, DC",-77.0368707,38.9071923
"49","Seattle, WA",-122.3320708,47.6062095
"50","Austin, TX",-97.7430608,30.267153
"51","Baltimore, MD",-76.6121893,39.2903848
"52","Itasca, IL",-88.0072909,41.9750287
"53","New York, NY",-74.0059728,40.7127753
"54","Bellevue, WA",-122.2015159,47.6101497
"55","New York, NY",-74.0059728,40.7127753
"56","Kansas City, MO",-94.5785667,39.0997265
"57","San Francisco, CA",-122.4194155,37.7749295
"58","New York, NY",-74.0059728,40.7127753
"59","San Francisco, CA",-122.4194155,37.7749295
"60","Chicago, IL",-87.6297982,41.8781136
"61","San Jose, CA",-121.8863286,37.3382082
"62","Redwood City, CA",-122.2363548,37.4852152
"63","Mount Vernon, IA",-91.4168371,41.9219522
"64","Phoenix, AZ",-112.0740373,33.4483771
"65","Gold River, CA",-121.2466156,38.6262937
"66","Andover, MA",-71.1367953,42.6583356
"67","Boston, MA",-71.0588801,42.3600825
"68","San Antonio, TX",-98.4936282,29.4241219
"69","San Francisco, CA",-122.4194155,37.7749295
"70","San Francisco, CA",-122.4194155,37.7749295
"71","San Antonio, TX",-98.4936282,29.4241219
"72","New York, NY",-74.0059728,40.7127753
"73","San Francisco, CA",-122.4194155,37.7749295
"74","San Francisco, CA",-122.4194155,37.7749295
"75","Pittsburgh, PA",-79.9958864,40.4406248
"76","San Diego, CA",-117.1610838,32.715738
"77","Emeryville, CA",-122.2852473,37.831316
"78","Austin, TX",-97.7430608,30.267153
"79","San Francisco, CA",-122.4194155,37.7749295
"80","Houston, TX",-95.3698028,29.7604267
"81","Boston, MA",-71.0588801,42.3600825
"82","Boise, ID",-116.2146068,43.6187102
"83","Minneapolis, MN",-93.2650108,44.977753
"84","Greenwich, CT",-73.6281964,41.0262417
"85","Dallas, TX",-96.7969879,32.7766642
"86","Greenwich, CT",-73.6281964,41.0262417
"87","San Jose, CA",-121.8863286,37.3382082
"88","San Diego, CA",-117.1610838,32.715738
"89","Champaign, IL",-88.2433829,40.1164204
"90","New York, NY",-74.0059728,40.7127753
"91","Mesa, AZ",-111.8314724,33.4151843
"92","San Francisco, CA",-122.4194155,37.7749295
"93","San Antonio, TX",-98.4936282,29.4241219
"94","Warren, MI",-83.0146526,42.5144566
"95","Cleveland, OH",-81.6943605,41.49932
"96","New York, NY",-74.0059728,40.7127753
"97","Pleasanton, CA",-121.8746789,37.6624312
"98","Tampa, FL",-82.4571776,27.950575
"99","Hillsboro, OR",-122.989827,45.5228939
"100","Palo Alto, CA",-122.1430195,37.4418834
"101","Cincinnati, OH",-84.5120196,39.1031182
"102","Stamford, CT",-73.5387341,41.0534302
"103","Madison, WI",-89.4012302,43.0730517
"104","San Francisco, CA",-122.4194155,37.7749295
"105","San Antonio, TX",-98.4936282,29.4241219
"106","Cambridge, MA",-71.1097335,42.3736158
"107","Plano, TX",-96.6988856,33.0198431
"108","San Francisco, CA",-122.4194155,37.7749295
"109","San Francisco, CA",-122.4194155,37.7749295
"110","Rochester, NY",-77.6109219,43.16103
"111","Hazelwood, MO",-90.3709489,38.7714396
"112","Charlotte, NC",-80.8431267,35.2270869
"113","Hartford, CT",-72.6850932,41.7637111
"114","Mountain View, CA",-122.0838511,37.3860517
"115","New York, NY",-74.0059728,40.7127753
"116","Tampa, FL",-82.4571776,27.950575
"117","Maple Grove, MN",-93.4557877,45.0724642
"118","New York, NY",-74.0059728,40.7127753
"119","Oklahoma City, OK",-97.5164276,35.4675602
"120","Cambridge, MA",-71.1097335,42.3736158
"121","New York, NY",-74.0059728,40.7127753
"122","New York, NY",-74.0059728,40.7127753
"123","Portland, OR",-122.6764815,45.5230622
"124","Reston, VA",-77.3570028,38.9586307
"125","New York, NY",-74.0059728,40.7127753
"126","Irvine, CA",-117.8265049,33.6845673
"127","New York, NY",-74.0059728,40.7127753
"128","San Mateo, CA",-122.3255254,37.5629917
"129","San Francisco, CA",-122.4194155,37.7749295
"130","San Francisco, CA",-122.4194155,37.7749295
"131","San Francisco, CA",-122.4194155,37.7749295
"132","San Francisco, CA",-122.4194155,37.7749295
"133","Mountain View, CA",-122.0838511,37.3860517
"134","New York, NY",-74.0059728,40.7127753
"135","Pittsburgh, PA",-79.9958864,40.4406248
