"","Company","Location","Industry","Rating","Salaries","Python","R","SAS","SQL","Java","Tableau","Spark","C","Perl","Excel","Hadoop","NoSQL","HBase","State"
"1"," Novetta","  – Herndon, VA","Information Technology","3.6","$109k-$161k(Glassdoor est.)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"VA"
"2"," Smith Hanley Associates","  – Bridgewater, NJ","Business Services","4.2","NA",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"NJ"
"3"," L.A. Care Health Plan","  – Los Angeles, CA","Health Care","3.3","$78k-$117k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA"
"4"," Senior Whole Health","  – Cambridge, MA","Insurance","3.3","$96k-$148k(Glassdoor est.)",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"MA"
"5"," GCP Applied Technologies","  – Cambridge, MA","Manufacturing","3.2","$77k-$116k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"MA"
"6"," Backcountry","  – Park City, UT","Retail","3.2","$67k-$97k(Glassdoor est.)",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"UT"
"7"," Sitecore","  – Sausalito, CA","Information Technology","3.1","$127k-$176k(Glassdoor est.)",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA"
"8"," Uncommon","  – Santa Monica, CA","Information Technology","5.0","$80k-$118k(Glassdoor est.)",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"CA"
"9"," eBay Inc.","  – San Jose, CA",NA,"3.7","$115k-$165k(Glassdoor est.)",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"CA"
"10"," Kforce","  – Framingham, MA","Business Services","3.2","NA",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,"MA"
